id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
11429,本報告書內容係依循全球永續性報告協會 (Global Reporting Initiative，簡稱 GRI) 發佈的永續性報導準則 (GRI Standards) 指導方針與架構撰寫，詳實介紹大立光電股份有限公司 (以下簡稱大立光或本公司) 履行企業公民責任，針對實踐永續管理 (含 ESG 組織與職掌、利害關係人的鑑別與關注議題溝通與分析、重大主題的排序與回應、永續經營的影響力、實踐聯合國永續發展目標、永續發展目標與計畫 )、公司治理與永續經營、營運績效與客戶服務、創新發展、建立永續供應鏈、綠色生產、友善職場與社區共榮等領域所積極從事之措施與行動。,G,No,,,,,,largan,3008,4,https://www.largan.com.tw/tw/tool-download/esg_1_files/file/19/2024%E5%B9%B4ESG%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8?note=,https://www.largan.com.tw/tw/esg
11665,隨著全球對可持續發展與環境保護的關注日益提升，不僅需要關注氣候變化的影響，還需正視業務活動對自然生態系統的依賴與衝擊。為減緩生物多樣性急遽喪失，本公司針對自有營業據點之自然與生物多樣性依賴與衝擊進行重大性分析並予揭露，以期達成與利害關係人溝通之目的。本次生物多樣性之資料來源來自農業部林業及自然保育署國土生態綠網之公開資訊，綠網區域包括山脈保育軸、平原生態、海岸生態等涵蓋重要的生物棲地、生態廊道及其他具有生態價值之敏感區域。本公司運用地理資訊系統 (GIS) 技術，將營運據點地理座標與生物多樣性熱區圖資進行空間疊圖分析，目前營運據點皆未坐落在國土生態綠網所劃設之生物多樣性熱區。,E,Yes,為減緩生物多樣性急遽喪失，本公司針對自有營業據點之自然與生物多樣性依賴與衝擊進行重大性分析並予揭露，以期達成與利害關係人溝通之目的。,already,Yes,本公司運用地理資訊系統 (GIS) 技術，將營運據點地理座標與生物多樣性熱區圖資進行空間疊圖分析，目前營運據點皆未坐落在國土生態綠網所劃設之生物多樣性熱區。,Clear,hnfhc,2880,62,https://www.hnfhc.com.tw/uploads/file/20250731170734721493.pdf,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b652cac56000000f6ca&parent_menu=2
11884,"依據國際潮流與趨勢，世界各地對企業在人權方面的保護及管理提出了更多的關注和要求，南亞科技重視人權保障，落實企業社會責任，遵循國際相關人權規範，包含歐盟「永續報導指令」(EU Corporate Sustainability Reporting Directive, CSRD)、聯合國世界人權宣言 (The Universal Declaration of Human Rights)、聯合國企業與人權指導原則 (The UN Guiding Principles on Business and Human Rights)、國際勞工組織「國際勞動標準」(International Labor Organization, ILO)、責任商業聯盟 (Responsible Business Alliance, RBA) 行為準則、SA 8000 社會責任標準、歐盟一般資料保護規範 (General Data Protection Regulation, GDPR)，以及當地政府法令，以制訂人權保障政策與相關管理機制。    另外我們認為進行人權盡職調查，執行風險評估，更可確保人權政策得到完整執行，除了可增強企業形象與信譽，也在全球化的經營環境獲得更多支持與競爭力，故南亞科技依全球永續性報告協會 (The Global Reporting Initiative, GRI) 於 2021 年發布最新永續資訊揭露標準 Universal Standards「通用準則 2021」，編纂「人權保障及盡職調查報告」(適用對象為員工、供應商、合資企業、客戶、社區等相關利害關係人)，並定期揭露管理成效。本報告書以開宗明義方式闡述公司的人權風險管理系統，並細部介紹人權盡職調查流程各環節的作法與成效，最後補充說明多元化溝通管道與各管道執行狀況與成果。未來我們將定期以此報告書形式發佈公司的人權保障政策、實踐與成果，使關心南亞科技人權保障的利害關係人能藉此了解公司對人權問題的關注，以及對人權保障的具體措施與社會責任。",S,Yes,南亞科技重視人權保障，落實企業社會責任，遵循國際相關人權規範， ｜ 編纂「人權保障及盡職調查報告」(適用對象為員工、供應商、合資企業、客戶、社區等相關利害關係人)，並定期揭露管理成效。,more_than_5_years,Yes,"包含歐盟「永續報導指令」(EU Corporate Sustainability Reporting Directive, CSRD)、聯合國世界人權宣言 (The Universal Declaration of Human Rights)、聯合國企業與人權指導原則 (The UN Guiding Principles on Business and Human Rights)、國際勞工組織「國際勞動標準」(International Labor Organization, ILO)、責任商業聯盟 (Responsible Business Alliance, RBA) 行為準則、SA 8000 社會責任標準、歐盟一般資料保護規範 (General Data Protection Regulation, GDPR)，以及當地政府法令，以制訂人權保障政策與相關管理機制。",Clear,npc,1303,3,https://www.nanya.com/ESG/storage/file/e3e8387b-3a38-4f10-b520-779f221bf0e9?v=1774280210,https://www.nanya.com/ESG/tw
10143,為提升氣候變遷管理效能，並強化低碳轉型的決策依據，大立光規劃評估「內部碳定價」機制，提前評估未來碳價格上升對公司經營之影響。大立光氣候及環境相關指標與目標制定如下，各指標具體執行情形詳參閱本章節後續章節。面對氣候變遷議題，大立光對環境管理各項的短中長期指標如下表：,E,Yes,大立光規劃評估「內部碳定價」機制，,already,Yes,估未來碳價格上升對公司經營之影響。,Not Clear,largan,3008,55,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/largan_3008_page_55.pdf,https://www.largan.com.tw/tw/esg
11574,本公司重視永續經營，致力成為永續金融標竿企業，積極參與、簽署或遵循永續發展相關主題之國內外倡議與評比，如：SDGs、GRI、TCFD、SASB、PRI、PSI、CA100+、Moody’s、S&P、Fitch、GRESB 及中華信用評等，並接軌國際永續發展趨勢，攜手金控參與各項國際倡議及評比，如：DJSI、SBTi、RE100、CDP、WEF、MSCI、AIGCC、PCAF、TNFD Forum 及永續評比 Sustainalytics 等，並響應 UNFCCC「運動拯救氣候倡議行動 (Sports for Climate Action)」，富邦自 2021 年開始推動 Run For Green™ 計畫，將運動與綠色行動結合，讓參賽者每跑 40 公里，就能種下一棵樹，「跑多少就種多少」，加速臺灣從日常實踐永續，提升我國永續發展能見度。此外，富邦集團亦實際行動前進國際永續舞台，2024 年外交部邀請富邦金控參與 WTO 年度最大活動「公共論壇」，與全球代表共同探討如何實現綠色經濟，除了是此次臺灣金融業唯一代表，也創下臺灣金融業參加 WTO「公共論壇」的首例，以實例驗證金融業如何扮演淨零關鍵推手，發揮引導資金流向的影響力，協助產業低碳轉型。富邦金控前進「第 29 屆聯合國氣候變遷大會 (COP29)」實地追蹤國際脈動，並於環境部舉辦的 COP29 系列論壇擔任開幕論壇講者之一，分享以綠色金融驅動低碳的新願景。富邦金控身為國內第一家積極承諾限制投資碳排敏感性產業的金融機構，已通過科學基礎減碳目標 (SBT) 審查，承諾 2030 年減量 42%、最晚 2050 年實現淨零排放，並增定 2030 年綠色金融達 2.91 兆元等多項永續目標，攜手旗下各子公司積極帶動價值鏈永續轉型、共促政府淨零願景。,E,Yes,承諾 2030 年減量 42%、最晚 2050 年實現淨零排放，並增定 2030 年綠色金融達 2.91 兆元等多項永續目標，,more_than_5_years,Yes,富邦自 2021 年開始推動 Run For Green™ 計畫，將運動與綠色行動結合，讓參賽者每跑 40 公里，就能種下一棵樹， ｜ 富邦金控身為國內第一家積極承諾限制投資碳排敏感性產業的金融機構， ｜ 已通過科學基礎減碳目標 (SBT) 審查，,Clear,fubon,2881,15,https://esg.fubonlife.com.tw/esg-report,https://esg.fubonlife.com.tw/esg-report
11905,積極將 ESG 融入商品與服務，透過議合發揮金融影響力，提供社會平等且具包容性之解決方案。涵蓋之目標包含普惠金融、永續金融、數位金融及客戶權益維護等面向。  SDG 1、8、9、10、12、13,S,Yes,提供社會平等且具包容性之解決方案。,between_2_and_5_years,No,,,tcfhc,5880,36,https://esg.tcfhc.com.tw/uploads/download_item/download_file_zh/14/2024_ESG_REPORT_zh.pdf,https://esg.tcfhc.com.tw/report-download/
90102,除廠區自主查核外，也藉由食安稽核組於統一企業的獨立性，結合集團之食安核心工作重點目標，針對內部工廠、代工廠、品管以及研究單位進行食安風險監控查核作業，確保各生產、品管與研究單位於食安管控軌道上落實執行之落實情況，並直接彙報於總經理辦公室，以期達到食安零風險的目標。截。截至 2024 年底，本公司已完成對 50 家具關鍵代表性之工廠與相關單位進行聚焦式查核，整體缺失項目經重新分類後，均歸屬為「一般管理優化事項」，未有任何列為「重大」等級之案件，因此對外揭露為零重大食安缺失。為避免數字解讀失焦，本公司僅揭露經風險評估後列為關鍵指標之重大異常，其他如原料保存環境、標示細節調整、設備維護時程等事項，皆視為持續精進的一般改善建議，故未納入公開統計。上述結果顯示，所有受查單位已全面符合公司訂定之關鍵食安控制標準，足以支撐本公司達成食安零風險的階段性目標。,G,Yes,除廠區自主查核外，也藉由食安稽核組於統一企業的獨立性，結合集團之食安核心工作重點目標，針對內部工廠、代工廠、品管以及研究單位進行食安風險監控查核作業，確保各生產、品管與研究單位於食安管控軌道上落實執行之落實情況，並直接彙報於總經理辦公室，以期達到食安零風險的目標。截,between_2_and_5_years,Yes,截至 2024 年底，本公司已完成對 50 家具關鍵代表性之工廠與相關單位進行聚焦式查核，整體缺失項目經重新分類後，均歸屬為「一般管理優化事項」，未有任何列為「重大」等級之案件，因此對外揭露為零重大食安缺失。為避免數字解讀失焦，本公司僅揭露經風險評估後列為關鍵指標之重大異常，其他如原料保存環境、標示細節調整、設備維護時程等事項，皆視為持續精進的一般改善建議，故未納入公開統計。上述結果顯示，所有受查單位已全面符合公司訂定之關鍵食安控制標準，足以支撐本公司達成食安零風險的階段性目標。,Misleading,unipresident,1216,34,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/unipresident_1216_page_34.pdf,https://esg.sp88.tw/book.php
10696,本集團自 2016 年起導入 ISO 14064-1 溫室氣體盤查，並於 2019 年起擴大溫室氣體排放的數據蒐集範疇，目前已完成集團全數據點溫室氣體盤查並通過第三方單位確信。為響應政府 2050 年淨零排放之目標，本集團針對溫室氣體排放設立管理目標：當年度範疇一、二排放量相較前一年度下降 2%、2050 年達到淨零目標，期能持續減少溫室氣體排放量，更有效地降低環境衝擊。另本集團已於 2024 年 9 月承諾加入 SBTi，並規劃於 2025 年提交本集團之減碳目標。,E,Yes,本集團針對溫室氣體排放設立管理目標：當 ｜ 當年度範疇一、二排放量相較前一年度下降 2%、2050 年達到淨零目標，期能持續減少溫室氣體排放量，更有效地降低環境衝擊。,longer_than_5_years,Yes,本集團自 2016 年起導入 ISO 14064-1 溫室氣體盤查，並於 2019 年起擴大溫室氣體排放的數據蒐集範疇，,Clear,hnfhc,2880,125,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/hnfhc_2880_page_125.pdf,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b652cac56000000f6ca&parent_menu=2
11329,"為提高人員消防意識，加強員工疏散逃生能力，減少火災事故的發生，最大限度減輕災害事故的損失，奇鋐集團各廠區每年定期舉行全員消防演習。2024年深圳、東莞、成都、武漢、嘉善、越南據點共演習14次，參與人數32,916人次。",S,Yes,為提高人員消防意識，加強員工疏散逃生能力，減少火災事故的發生，最大限度減輕災害事故的損失， ｜ 奇鋐集團各廠區每年定期舉行全員消防演習。,more_than_5_years,Yes,"奇鋐集團各廠區每年定期舉行全員消防演習。2024年深圳、東莞、成都、武漢、嘉善、越南據點共演習14次，參與人數32,916人次。",Clear,avc,3017,108,https://www.avc.co/Portals/0/zh-tw/FileUpload/%E4%BC%81%E6%A5%AD%E8%B2%AC%E4%BB%BB/2024%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A.pdf?ran=001,https://www.avc.co/zh-tw/CorporateResponsibility/CorporateCSR
11471,台泥董事(含獨立董事)選舉全面採候選人提名制度，由提名委員會經由嚴謹遴選程序提名及資格審查，依據公司產業特性及未來發展策略，審慎考量董事會之配置及多元化標準，包括董事所需之專業知識、技術及經驗、性別與獨立性，以及公司短中長期發展策略，並優先徵詢女性董事人選；獨立董事候選人另依循「證券交易法」、「公開發行公司獨立董事設置及應遵循事項辦法」，以及臺灣證券交易所所定獨立董事之條件。所有董事候選人由董事會決議通過後，送請股東會選任之。,G,No,,,,,,tcc,1101,40,https://media.taiwancement.com/web_tcc/comm/pdf/Sustainability_Report/2024/TW/%E5%8F%B0%E6%B3%A52024%E5%B9%B4%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf,https://www.tccgroupholdings.com/tw/esgReport.html
